experiment,bw_gbps,epsilon_abs,epsilon_norm,token_ref,object_id,object_type,n_tokens,p_reuse,q_star_offline,q_star_pred,offline_cost,predicted_cost
H5,0.5,12.972,0.002,6486,longtail_028,longtail,40,0.163265,sparse_k,int4,2.631813,3.066469
H5,0.5,12.972,0.002,6486,longtail_042,longtail,24,0.236443,sparse_k,int4,1.708596,1.737529
H5,0.5,12.972,0.002,6486,longtail_032,longtail,36,0.137895,sparse_k,int4,2.321519,2.72144
H5,0.5,12.972,0.002,6486,longtail_008,longtail,48,0.06603,sparse_k,sparse_k,2.821794,3.383467
H5,0.5,25.944,0.004,6486,prefix_003,prefix,168,0.917029,sparse_k,int4,12.773273,8.319506
H5,0.5,25.944,0.004,6486,session_025,session,211,0.693205,sparse_k,int4,15.296491,11.391076
H5,0.5,25.944,0.004,6486,prefix_017,prefix,165,0.863716,sparse_k,int4,12.400025,8.13122
H5,0.5,25.944,0.004,6486,session_029,session,253,0.546582,sparse_k,int4,18.224703,15.064069
H5,0.5,25.944,0.004,6486,session_007,session,186,0.696013,sparse_k,int4,13.416316,9.520466
H5,0.5,25.944,0.004,6486,session_013,session,194,0.641399,sparse_k,int4,13.84739,10.093429
H5,0.5,25.944,0.004,6486,session_028,session,219,0.562378,sparse_k,int4,15.526677,12.039429
H5,0.5,25.944,0.004,6486,session_030,session,195,0.602691,sparse_k,int4,13.806256,10.166746
H5,0.5,25.944,0.004,6486,session_024,session,204,0.566105,sparse_k,int4,14.377642,10.843558
H5,0.5,25.944,0.004,6486,prefix_004,prefix,145,0.792835,sparse_k,int4,10.797225,6.962678
H5,0.5,25.944,0.004,6486,session_021,session,192,0.595457,sparse_k,int4,13.560004,9.947927
H5,0.5,25.944,0.004,6486,prefix_018,prefix,122,0.891456,sparse_k,int4,9.563023,5.805256
H5,0.5,25.944,0.004,6486,prefix_016,prefix,136,0.790113,sparse_k,int4,10.181595,6.486026
H5,0.5,25.944,0.004,6486,session_023,session,202,0.526862,sparse_k,int4,14.107576,10.690516
H5,0.5,25.944,0.004,6486,prefix_002,prefix,113,0.929799,sparse_k,int4,9.099313,5.406632
H5,0.5,25.944,0.004,6486,prefix_010,prefix,129,0.806744,sparse_k,int4,9.766788,6.136405
H5,0.5,25.944,0.004,6486,prefix_012,prefix,145,0.657071,sparse_k,int4,10.389933,6.962678
H5,0.5,25.944,0.004,6486,session_022,session,122,0.75459,sparse_k,int4,9.152424,5.805256
H5,0.5,25.944,0.004,6486,session_033,session,157,0.568267,sparse_k,int4,10.950953,7.64571
H5,0.5,25.944,0.004,6486,rag_029,rag,133,0.651074,sparse_k,int4,9.564487,6.333927
H5,0.5,25.944,0.004,6486,session_016,session,158,0.520657,sparse_k,int4,10.87798,7.705079
H5,0.5,25.944,0.004,6486,rag_024,rag,133,0.595771,sparse_k,int4,9.398579,6.333927
H5,0.5,25.944,0.004,6486,rag_006,rag,97,0.761774,sparse_k,sparse_k,7.594122,4.773045
H5,0.5,25.944,0.004,6486,prefix_009,prefix,74,0.95,sparse_k,sparse_k,6.781926,3.751163
H5,0.5,25.944,0.004,6486,rag_022,rag,142,0.490064,sparse_k,int4,9.685176,6.800401
H5,0.5,25.944,0.004,6486,rag_020,rag,98,0.679612,sparse_k,int4,7.409163,4.81011
H5,0.5,25.944,0.004,6486,rag_016,rag,148,0.438771,sparse_k,int4,9.940018,7.128347
H5,0.5,25.944,0.004,6486,rag_045,rag,131,0.493594,sparse_k,int4,8.959415,6.234412
